Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",42.244000,3.895000,-90.000000,top
"C2","120u","16SVF180M",2.868000,15.198000,90.000000,top
"C3","100n","C_0805_2012Metric",30.306000,4.657000,90.000000,top
"C4","10u","C_1206_3216Metric",37.536000,-15.184000,-90.000000,top
"C5","12p","C_0603_1608Metric",34.526000,-6.887500,180.000000,top
"C6","12p","C_0603_1608Metric",34.526000,-9.887500,180.000000,top
"C7","220u","CHEMI-KE0",2.670800,2.752000,90.000000,top
"C8","10u","C_1206_3216Metric",30.433000,-1.177000,90.000000,top
"C9","100n","C_0805_2012Metric",36.605200,6.562000,180.000000,top
"C10","1u","C_0805_2012Metric",31.576000,8.086000,0.000000,top
"D1","CDSOT23-SM712","SOT95P230X117-3N",23.464000,24.088000,180.000000,top
"D2","GREEN","D_1206_3216Metric",40.076000,-22.000000,0.000000,top
"D3","RED","D_1206_3216Metric",14.050000,-15.536000,0.000000,top
"D4","CDSOT23-SM712","SOT95P230X117-3N",32.592000,18.868000,-90.000000,top
"D5","SS24FL","SODFL3617X108N",9.224000,-6.900000,-90.000000,top
"D6","CDSOT23-SM712","SOT95P230X117-3N",41.482000,18.868000,-90.000000,top
"F1","2A","D_1206_3216Metric",8.078000,-12.655000,-90.000000,top
"J1","KMDGX-6S-BS","KMDGX6SBS",36.300000,26.710000,0.000000,top
"J2","F31S-1A7L1-11040","F31S1A7L111040",16.750000,-34.368000,0.000000,top
"J3","KMDGX-8S-BS","KMDGX8SBS",10.700000,26.710000,0.000000,top
"J5","87520-0010BLF","87520-0010BLF",4.425000,-14.034000,-90.000000,top
"L1","MSS1210-683MED","INDPM120120X1020N",17.606000,-6.900000,-90.000000,top
"Q1","MMBT3904","SOT-23",31.948000,-27.586000,180.000000,top
"R1","68","R_0805_2012Metric",33.067500,-36.603000,180.000000,top
"R2","68","R_0805_2012Metric",33.067500,-33.936000,180.000000,top
"R3","68","R_0805_2012Metric",33.067500,-31.269000,180.000000,top
"R4","10k","R_0603_1608Metric",42.498000,7.578000,90.000000,top
"R6","68","R_0805_2012Metric",21.818000,-28.043606,90.000000,top
"R7","68","R_0805_2012Metric",24.500000,-28.040106,90.000000,top
"R8","68","R_0805_2012Metric",27.152000,-28.040106,90.000000,top
"R9","1k69","R_0603_1608Metric",15.946000,-29.301000,90.000000,top
"R10","1k69","R_0603_1608Metric",18.740000,-30.126000,0.000000,top
"R11","1k","R_0603_1608Metric",36.075000,-28.602000,180.000000,top
"R13","250","R_0603_1608Metric",26.813000,24.088000,90.000000,top
"R14","10","R_0603_1608Metric",25.988000,26.882000,0.000000,top
"R15","10","R_0603_1608Metric",25.988000,21.294000,0.000000,top
"R18","330","R_0805_2012Metric",11.764000,-18.076000,0.000000,top
"R19","150","R_0603_1608Metric",8.000000,-17.534000,-90.000000,top
"R20","68","R_0805_2012Metric",40.076000,-24.500000,180.000000,top
"R21","10","R_0603_1608Metric",35.894000,18.754000,90.000000,top
"R22","10","R_0603_1608Metric",29.290000,18.754000,-90.000000,top
"R23","10","R_0603_1608Metric",44.784000,18.754000,90.000000,top
"R24","10","R_0603_1608Metric",38.180000,18.754000,-90.000000,top
"U1","SN65HVD08DR","SOIC127P600X175-8N",37.589000,10.754000,180.000000,top
"U2","LD1117S33TR_SOT223","SOT-223-3_TabPin2",35.623000,0.441000,-90.000000,top
"U3","MDBT50Q-P1MV2","Raytac_MDBT50Q",47.426000,-12.144000,-90.000000,top
"U4","LM2596S-5","TO-263-5_TabPin3",17.352000,13.263000,90.000000,top
"X1","32.768kHz","R_1206_3216Metric",37.526000,-8.387500,90.000000,top
